ID,response
36,"Once there was a girl. She was walking home from school on a rather uneventful day, wondering how life could be more boring or repetitive than it already was. Staring at the houses that looked the same, the streets that looked the same, the trees, the flowers, the lampposts that all looked the same, she stumbled upon a rock- which did not look like any normal rock. 
Just based on appearance, this glass rock with a fire burning within it awed her. FINALLY, she thought. Something peculiar and interesting in the middle of my mundane life. With curiosity and wonder, she picked up the rock, examined it, and put it in her pocket. After a couple of days, this rock didn’t seem to do anything at all other than look beautiful. She frustratingly threw the rock away and it burst into a huge fiery ball, engulfing her for just a second, and then disappeared. 
“This is something straight out of a superhero movie! I’m going to have the ability to breathe and control fire, humidity, and nature! I’m going to make the most of my life, saving lives and creating a beautiful world!” But she was wrong. 
For the next couple weeks she noticed nothing strange about herself at all. There was no change in her abilities, and she continued to live a painstakingly boring life. Was the rock just a dream? Did she imagine it happening to her purely because her life was just that pathetic? Maybe. Maybe not…
As college acceptances rolled out, her & her best friend were walking around college campuses, discussing which schools they thought they would be accepted to. “I have 0% chance of getting into any college, I swear…” She had no confidence in herself or her future. 
And she was right. Out of the 21 colleges she applied to, she was accepted to absolutely none of them. Her future was going to be living in her parent’s basement until she died alone. 
“How could this be? How can I have not even been accepted to a single college? This has got to be a mistake. I’m 100% sure I could have been accepted to all of these. I can’t believe this.” 
And… she was right. A couple days later, all 21 colleges sent her acceptance letters in the mail, telling her they had made a mistake and would love for her to attend their college. 
-Narrator’s cut- 
You’re probably wondering what’s happening right now. Well this girl (let’s call her Jackie) has just obtained the power to make statistics come true. She doesn’t know it yet, but this could be the greatest power of all, she could potentially say “There’s a 100% chance that I will close my eyes, and open them again to find myself in Ethiopia”, and that would come true. Or “There’s a 100% chance that I will be able to fly and soar throughout the sky”, and she’d find herself amongst the birds and the clouds. If you really wanted to take it to the next level she could say “There’s a 100% chance that anything I think about or imagine in my head, will come true as long as I say it aloud”. And then she wouldn’t even have to manipulate statistics anymore, she would just have to say everything out loud and it would be done. 
So, let’s find out what Jackie chooses to do with her newfound power…
Fin. To not be continued. "
37,"She paused, staring at him with a frown that creased the sliver of flesh between her eyebrows. What was wrong with him? All she ever wanted to do was help, and he stood there, daring to deny her the use of her newfound ability. The cut on his hand was fresh, dripping with blood that could have well been made from droplets of rubies. He could sense what she was mulling over in her head and sternly said her name, as if it was a warning; “Kalani.”
The woman cleared her throat and looked back up to lock his amber gaze with her cinereous one. Kalani had been in charge, once before, and now this man she had grown fond of was so locked in on his own superiority that he felt as though he could order her to do anything. But she wasn’t one of his lackeys, one of his dogs that he could command and growl at. The blonde had slowly caught on, and she knew that he was fond of her as well. If he had any sense left in his bones, the Captain would not deny her the use of her power. 
Still, she didn’t know the extent of what she could do. Not until that moment. At first, she noticed her own bruises disappearing in a matter of moments, small cuts closing up like they were never meant to brandish her skin. But was it possible for her to heal others, specifically the man before her whose rougue-ish look took her breath away? He dared say she couldn’t, and the look in his face told her that, even if she could, he didn’t want her to. 
Again, he spoke her name, much firmer than before. “Kalani, don’t.”
With as little response as she had self-control, the woman snatched his palm in her hand and covered it with the other. The Captain immediately attempted to jolt free of her grip, but it was too late. He felt the pain in his hand ebb, and once he could rip it away from her, the flesh was without any flaws, just his usual callouses from working on the ship for many hours. 
Kalani, on the other hand, had cringed and pulled her hands away just as quickly as he had pulled his own from her. Why did it hurt? She had healed him, which was an accomplishment in and of its own, but why was she, herself, hurting? The blonde looked down at both her palms. What she found made her gasp and the Captain frown, a look of guilt shining across his eyes.
There, in the same, correlating side that the man’s wound had occurred, lay a cut that could have mirrored his own. The woman watched the liquid rubies leak from under her skin. “I took it from you.” She looked back at the Captain, whose face had taken on a dark look before he carefully gripped her chin between his fingers so she would hear all that he was saying to her. 
“You tell no one that you have this power. Do you hear me? No one can know. Hell, I shouldn’t even know.” He cleared his throat and frowned again. “Never use this ability on anyone, ever. Not even me.”
Again, there he was, commanding her around. But this time, there was something in his voice that made such commands sound more like a plea. As if he could have been begging her to not go back on his words. So she abided and cast him a quiet nod."
38,"Mike was ecstatic- he had just won the position of class president, and he was filled to the brim with ideas as to how to improve his school. As a senior, he wanted to leave a legacy, and this new position of power was a dream to him; he could finally create change in his community.
However, as time went on, his excitement started to fade. Mike had tried to create spirit within his senior class, and tried to get them involved in the decisions he was making, but he realized that there was such a thing as too much democracy. Even for the color of their class t-shirts, red or white, the class split into two sides, and an uproar occurred. When white had won, the students who had chosen red began to resent Mike.
This happened in all of Mike’s decisions; there were always ones left unhappy, and they blamed Mike for their unhappiness. Mike cared deeply for his image, and hated that his position of power had left him less liked than before. He knew having the power that he did came with many responsibilities, and that there were sacrifices that must be made, but that didn’t stop him from resenting his presidency. He hated that the students so easily blamed him for everything he tried to do- choosing prom locations, allocating funds, choosing dates for events. He wanted his peers to realize how much time and effort he put in to get everything together. The president from last year did next to nothing, and was disliked for his apathy; Mike was the opposite, and there was still opposition- could Mike ever win?
“This must be how politicians feel,” Mike thought. Regardless of their decisions, there were always those who were in opposition of them.
On a brighter note, Mike was now known throughout the school, not always in the light he wanted to be cast in, but his presence throughout the school was known. He realized that he really could not please everyone, and that didn’t make him a bad leader. Besides, there were many who saw Mike’s effort in revamping the school and class, and who gave him credit for that. As the year came to a close, Mike was relieved to be lifted of his responsibility; power was not all that it was cracked up to be. But he was also very proud of his accomplishments for the school. It was much improved within the last year than it had been in the past five before that. Although he may not have received the recognition he had hoped for, he had an internal sense of pride, and had accomplished what he had originally intended to do. "
39,"One day, a man named Rob was coming back from his family’s funeral after a mass-murderer had brutally killed Rob’s daughter and wife. Rob who now became a man with nothing to lose had started to lose faith in humanity along with his own sense of humanity. Rob drank alcohol for five consecutive days in order to hide his sorrows. One late night, Rob went for a stroll around his neighborhood pondering about his meaning of life. All of a sudden, there was a loud crash which immediately caught Rob’s attention. After a minute of silence, Rob decided to head over as he did not hear any voices from the direction of the crash. A small crater with a circumference of about the size of a basketball was directly in front of Rob. There was still smoke coming out of the crater when suddenly a sharp glimmer caught Rob’s attention. In an instant, a shadowy object darted into Rob’s face…
The sunlight was shining as bright as ever and Rob was awoken by the sun’s gleaming rays. “Where am I…What happened…>?”, he said. The crater was still in front of Rob and the last recollection of his memories was of him taking a stroll at night to discover a mysterious crater. Then he remembered that something about the crater startled him. *Voosh* Rob had just seen a bench beside him get distorted for a brief moment. “What the-” Rob became nervous and thought something had happened to his eyes. He rushed back to his house opening the restroom door wide open as he nervously checked every corner of his eyes. Nothing seemed to be out of the ordinary. *sigh* “I guess nothing really happened after all… But why did I become unconscious?”, Rob said. 
*Beep Beep Beep* Rob’s phone was ringing. “Sir! I would like to ask about how things are at the moment..” “Yeah, I’m feeling a bit better. I should be able to head back to the company today after lunch.”, Rob said. “Alright, everyone will be waiting to welcome you, sir!” "
40,"Feldrich had just finished his math test when and was exiting the classroom in the building when he suddenly felt an outrageous sensation of hunger and realized that he hadn’t eaten sense that morning before school almost eight hours ago. Hurriedly, he rushed to his car to in the parking lot to drive to the Mexican restaurant down the road and grab one of his favorite carne asada burritos. The moment Feldrich hopped in his car and sat down he immediately closed his eyes and began dreaming about the delicious meat, salsa, rice and beans that would be inside the burrito and his mouth began to water at the thought of it. He decided he better not waste any time fantasizing about the food, and so he snapped out of his temporary dream-state and began to start up the car. No sooner did Feldrich become aware of a very pleasant, familiar smell in the car, and he attempted to locate the source. Upon turning around and searching the back seat of the station wagon, he was met face to face with a massive, untouched carne asada burrito on a golden platter sitting right on the seat behind him. Feldrich was blinded by the fortunate surprise and slapped himself several times rapidly in hopes of waking up from the dream he was certainly in. Despite these efforts, the burrito remained on the seat, tempting as ever, so Feldrich lunged for it and began devouring the thing like a wolf would a rabbit. Never in his entire existence on the planet had he ever experienced a satisfaction so powerful and magical, yet he questioned the source of the wondrous surprise. After school the next day, Feldrich once again realized his intense hunger and rushed to his car to speed off to grab a bite to eat. He conjoured up a burrito once again. Feldrich was magical"
41,"He was unaware of when it had happened. Or rather, he quite vividly recalled his first experience, but had no idea at what point he was capable of causing such an event. It happened several months ago, when at the start of the semester, he found himself sitting next to a particularly friendly fellow in class. After having talked to him for some time after the conclusion of lecture, he shook his hand goodbye as he promised to hang out with him outside of class. At that moment it hit him, like a powerful wave in a stormy sea, a sensation so overwhelming that it nearly brought him to his knees on the spot. In that second of contact with this individual he had never met, he had immediately come to know everything about him. He could not explain it, but "
42,"It had always puzzled Spencer why after the accident she hadn’t had any side effects. Everyone else seemed to have developed some strange traumatic brain injury, in fact some had even gone comatose. But Spencer, as far as she knew was fine. Spencer was always the bookish type, never really spent time outside; she was certainly charismatic and not what anyone would consider a shut-in, but her distaste for the outside was a notable feature of her personality. 
A long day had passed, Spencer walked out of her court-mandated therapy that everyone involved in the accident had to attend. This was a stressful time for her. What was wrong with her; why didn’t she have any problems? Why was she destined to live when everyone she had been with that day had died? Survivor’s guilt seemed like such a strange concept to her until she was in the middle of it. 
“God what is wrong with me!” she screamed out of exhaustion. She knelt down into the grass and did an action that some would consider the precursor to crying – not Spencer though, she hadn’t cried for months. 
“Believe me, nothing is wrong with you,” said a strange voice. Spencer turned around expecting this to be possibly the beginning of one of those cheesy romance movies and it would be the man of her dreams saving her from her existential crisis. Curiously though, nothing was there. She turned her head, looked to see if there was anywhere anyone was hiding but no – just the green grass she had knelt into. For a moment, she felt filled with a piety she had never felt before. 
“Ggggod? Is it you?” 
“On the contrary you are the God.” Well this was it for Spencer, she had finally suffered her traumatic brain injury and no longer felt her guilt. 
“I’m crazy,” she then began to cry. As she did this a small worm slithered up to her face and caught her tear. 
“Do not cry goddess, you are safe among your people,” the worm seemed to say. Spencer screamed. Did a worm just talk to her? And more importantly did a worm just catch her tears (and if so how thoughtful)? “Spencer,” it said in its strangely high pitched voice, “you have been given the gift. The gift of wormspeech. Many years ago it was prophesized that the wormspeaker would come to us in the form of a troubled, indoors girl who would find her people among the worms”. Spencer, believing she had gone into a psychotic state simply went along with it. “Not only that, but you can control us, here come up boys!” Suddenly a group of five worms popped out of the ground and began to bow. 
“This is Yarm, Harlo, Uback, General Tsao, and Peggy” the original worm said. “These are my siblings, and I, Campbell would love to be your worm liaison”. 
“This can’t be happening to me,” said Spencer incredulously. 
Campbell whistled a military grade whistle, “Friends of Spencer go steal that grey Toyota”. Suddenly an entire colony of worms emerged from the ground and found their way into the Corolla and started this car. 
“See,” Campbell said, “The accident you were in, it severely damaged your friends because they could not handle this burden of wormspeek. You are different Spencer. You are the chosen one. You can control any worm to your bidding and for that you are our God”. "
43,"Suddenly I was walking through the large lecture hall, on my way to my usual seat in the fourth row, 3 seats in, when I heard someone whispering. I pretended not to hear, because typically when someone is whispering they do not want it to be known. Even though the comment was about me, I chose to ignore it. Guys often comment on my body so I was used to it. I simply sat in my seat and opened my laptop while chewing my gum and texting the cute guy next door. The professor arrived in the lecture hall promptly at 2 pm, at which time the constant whispering around me stopped. Finally, peace. The professor goes on to talk about the upcoming test and what we should study, when I hear another voice. I hear “You will all fail so don’t even try to study.” I thought this was odd that a professor would encourage this. Next to me, a girl exclaims “Dr. Smith is the hottest professor I’ve ever known.” I was shocked she would actually admit that out loud. Doesn’t that cross some legal law?? Dr. Smith acted like he didn’t even hear…he must be used to it. I mean, he is pretty good looking for a 60 year old. I carried on taking notes. After class ended, Sharon and I began our daily walk to the lunch line. While in line, Sharon commented on my ugly sweater. I was offended, and since I am very sensitive, I began to cry. Sharon just looked at me confused, but the man next to me looked at me and shouted “Stop crying I am on the phone with my mistress!” I couldn’t believe it. I ran back home in tears. Sharon ended up texting me, “Why did you leave? Why were you crying?” That was when I realized my power. I, Lily Powers, could read minds. NOOOOOO, I thought to myself. Now I had to listen to everyone’s terrible, gossipy thoughts all day long. I was so upset I called my mom who lives in another state. My mom didn’t believe me, in fact, I heard her think “my daughter needs to be in a psych ward.” I was annoyed. I needed to find the silver lining. So, I went to the cute boy I was texted earlier. Cute boy, AKA Jeffrey, happened to also be on the football team at my school. As I made my way to football practice, I planned my next move. The team all gathers in the locker room after practice where it is notorious to talk about girls and all of that boy stuff. It is every girl’s DREAM to hear what they talk about. Now I get to find out! I just had to be close enough so that my super cool mind reading power could work. Slyly, I stood on the bench outside of the locker room, with my brain close to the wall so that a real connection could occur. BAZINGA! Power literally spewed out of my ears into the wall. “Damn that Dalia girl sure is a babe.” Ugh, I was so upset. (Dalia is my biggest enemy) Well that was upsetting, but what I really wanted to know was what Jeffrey had to say about me. I waited for another 20 minutes, but my name just didn’t come up. So, I decided to take action. I figured, if I walked into the room “accidently” they would HAVE to think about me. I took a nice little stroll into the boys’ locker room, where I found every football player half dressed sipping Gatorade and texting their baes. Jaws dropped. I’d like to think it was because they were amazed by my good looks and smoking bod, but none of the above is true, so I figure it’s becauase I am a girl who just walked into a strictly boys zone. It interrupts every girl/guy code. Hehe oops. Since no one was saying anything, and I was too distracted to connect my super spy mindreading powers, I left. “Lily this Lily that Lily blah blah blah” My plan was genius. My name was everywhere. Even Jeffrey was talking about me. My mind reading power caught him saying something I will never forget, “I wish Lily Powers would hit me up on tinder!” I’ve never smiled so hard in my life. In fact, my lips were so chapped I began to bleed. "
44,"There was once an unusual event that happened in the city of Ivanhoe. The day started off gloomy with a lot of rain clouds and a high chance of rain, but for this one particular boy it was as if he was being reborn. This feeling came to be because the day before while he was at school playing with his friends and one of his friends gave a juice box, however, this was not any ordinary juice box. Little did this little boy, named Stone, know about what this juice box contained. Stone drank it with much appreciation and thirst. Before he fell asleep that night he started feeling a little funny, as if he were growing more strength throughout his body. When he woke up the next morning he started off to school the next day and suddenly started running unrealistically fast, he gave a great leap and realized that he could jump over extremely high buildings and once he landed he created some sort of creator on the ground, making him realize he has the superpower of jumping really and being supernaturally strong. He started exploring the extent of his superpowers and as he was growing he started to become a hero. He would help the authority catch all the criminals with his extreme speed, strength, and jumping ability. Soon the city of Ivanhoe solely relied on the help of Stone. He was a true superhero that helped its citizens and Ivanhoe PD. Stone never came around to realize that the cause of all of this was the unordinary juice box his friend gave him thousands of years ago. Stone lived on to continue fighting crime and helping its citizens be as safe as can be. I know this because I am Stone."
45,"Up until now, Jennifer had no idea what it was. She always knew the male voice inside her head was unusual. She thought maybe it was her subconscious talking to her as a male or maybe she had some type of psychological issue. She thought she was crazy. But it was in that moment, sitting across from a guy about her age on the train, that she realized, she was reading someone’s mind all along. And it was his. 
“She’s beautiful,” the mysterious boy thought, “She has amazing eyes.” She could read every thought that went through his mind. This is insane, Jennifer thought. She couldn’t begin to fathom what was going on. All her life, she always pondered what the strange voice in her head was. Looking at him, she now knew that it was this guy all along. Too afraid to look up at him, Jennifer continued to look down, her eyes plastered to her hands in her lap and mind running rampant. 
“C’mon Andrew. Talk to her,” he was silently screaming to himself. His name’s Andrew. Jennifer found some relief in knowing at least one thing about this guy she had no idea was such a huge part of her life. I can read minds. Well, his mind at least. She was in disbelief. Hm, he thinks I’m beautiful. She smiled at this, realizing that she returns the feeling. "
46,"On what seemed like a regular Thursday morning, Auden rolled out of bed to get ready for her 8 a.m. class. Like every other morning, she showered, did her hair, make up, and brushed her teeth. Everything seemed normal. That is until she went to ride her bike. 
Like everything else that morning, everything seemed very ordinary. Auden had been used to the schedule and everything seemed extremely mundane. That was until she started riding her bike. Going down the bike path she takes every day, she sees a boy riding his bike with no hands. Because of Auden’s lack of balance, she was never able to ride without holding on to her handle bars. Except something changed that morning.
 After seeing the boy riding without holding the handle bars, Auden felt a sudden rush of confidence. Her right hand let go of her handle bars, and it seemed effortless for her to ride her bike. Surprised by her own abilities, she decided to try letting go of her other hand. She was able to balance perfectly and ride her bike without holding the handle bars. She was shocked by her own abilities. 
As the day went by, she found herself trying things she’s never thought of before. She met up with her friends on the cheer team on the lawn outside they gym. They were going over their routine, Auden watched carefully as her friends completed the jumps and flips. Something strange came over Auden, and she decided that she wanted to try the routine. Her friends scoffed at her, remembering that she can’t even walk without tripping over her own feet. But Auden felt a confidence inside of her that she’s never felt before, and told them that she believes she can do it. Her friends, looking concerned, agreed and told her they’d help her. Auden declined. 
To the surprise of her friends (and herself), Auden was able to perform the routine seamlessly. After all the flips and tricks, her friends were speechless to what she had just done. Auden suddenly was aware of what was happening – she had developed the power to do whatever action she sees. With this new awareness, she embarked on a day’s adventure of trying new things. 
Auden was all over the place that day. She watched the basketball team at one of their games and saw a guy dunk. After the game, she asked to see the ball and dunked herself. Everyone was impressed. Then, she went out to the beach and watched surfer take on giant swells. Though she had never been on a board before, she asked one of her friends if she could borrow theirs and headed out toward the water. She handled herself in the water like she had been surfing for years. 
This power of Auden’s lead her to do some great things, and everyone was extremely impressed. They knew her as the girl that could do anything. She was asked to be on every sports team, be in every club, and offered every job. Her life seemed perfect. That was until she was faced with a task that no one has ever showed her before. 
At her job, she was required to use Excel. Thinking that it was such a simple task, she told her boss that she didn’t need any help. Then she tried to start working and realized she didn’t know how to use Excel. At all. She spiraled into a pit of despair because she was so used to being the perfect person who could do nearly anything. This caused her to become recluse and hide away from society because she was so ashamed. Unfortunately for her, her power caused her hubris and she wasted away by herself for the rest of her life. "
47,"It was late. The sun went down, the tide went up. Lisa couldn’t stop shaking. 
“You haven’t been yourself these past few days… not since your trip to the Bahamas”, said Marcus. 
“Just mind your own business, Marcus”, snapped Lisa.
Indeed, she hasn’t been herself, and Lisa knew this. It was a cold night, full of fun and games, in the company of good friends. Lisa was at a bar, when she couldn’t help but notice a faint light coming from one of the distant islands. 
“You see that light?” Lisa asked.
Everyone was too loud or drunk to answer her. 
For some odd reason, Lisa found the will in herself to take the next ferry out to that island. As Lisa approached the hilly island, the light became brighter and stronger. Lisa raised an eyebrow, knowing something was happening. After making her way through the rough terrain, she stumbled upon what looked to be an orb. For a second, Lisa thought she was too drunk and was imagining this. As she went out to touch it, the orb struck her arm, and she passed out. 
When she woke up, it was daylight. No birds were chirping, no cars, no waves, no anything. Once Lisa got up, she knew something was different. The entire ocean stopped moving. The flag on the mainland just stood there, in mid-wave. Everything looked as if it were frozen… in time. Lisa was not. 
“Holy shit” Lisa exclaimed. “This has to be a dream.”
Lisa walked out into the water, and put her foot into the ocean. The water was still water, but Lisa could stand on it. She made her way into the island, pacing past the ferry stopped in time. When she got to the port, she stared at the clock on the board. It was 8:00 AM, and a Monday morning. She didn’t know that it has been 8 AM on a Monday morning… for the past 4 days. 
At this point, Lisa knew something was happening. Whether it was her, or the world around her, she could not tell. She moved around all the people in mid stride; men, women, and children, rushing to get somewhere, and here she was. Lisa could move in time, while everyone and everything else around her stopped. 
As she continued along the station, she felt a jingling in her pocket. She looked down, and pulled out a watch. A stopwatch, actually."
48," Layla was your average high school girl. She was smart, but not a genius. She like to swim, but she never considered herself an athlete. She wasn’t particularly creative in any way. In other words she was just like you and me. 
One day after swimming practice, Layla stayed a bit longer than the rest of her team mates to work on the time it took to complete a lap. 
She felt angry at herself for being unable to beat her time. This only proved to herself that all she really was, is a normal girl. 
It had only been twenty minutes since the rest of the swim team had left when Layla noticed the sky turning grey above her. 
She decided it was time to go home since she didn’t want to get caught in the rain. 
Just as Layla was about to step out of the pool a giant snow ball fell out of the sky, frightening Layla and leaving her confused. A second later another one landed a few feet away from her and then another one and then another. They started to get bigger and when one of them nearly missed her faced she decided things were getting dangerous and that it was about time she go into the locker room.
Right as she was going to step in a lightning bolt shot from the sky blowing Layla off her feet. Then the lightning stopped. She couldn’t believe what had happened. It was crazy and she knew that no one would believe her. So she kept it to herself.
As she was walking home she reminded herself of her inability to become a faster swimmer. At this point she didn’t feel angry at herself but sad. At this very, moment rain started pouring from the sky.
Layla was still sad and the rain was still pouring, but as she approached her house she noticed something strange. That when she heard her dog running towards her and that her feelings of sadness were replaced by happiness the rain cleared and that a rainbow was now visible in the sky.
Layla brushed it off as mere coincidence but after several instance similar to those the day after practice she knew she had a gained a strange gift. Layla’s emotions had somehow become powerful enough to control the weather. "
49,"For many people, life is full of struggles and hardships. Everyone has had a bad day or a bad week where they just feel like nothing is going right and the end of this pain is nowhere in sight. For Claire, this was never the case, she always looked at the world as a new and inspiring place every day. She found gratitude in all the tasks put in front of her and always saw the positive side in any situation. One day she met a man who had just lost his wife to cancer and in turn lost his home because of the growing medical bills from his wife’s sickness. Claire felt so sorry for this man and for a split second she had one of those “That so Raven” moments where she could see the future of this mans life: it was pretty bleak, his children grew up hating him for never having enough money, he never married again and died young from a heart problem. Claire saw this future and decided it wasn’t good enough, so she imagined him getting a promotion at work and the bank deciding to return his home to him without any penalties. She told the man about the future she envisioned for him and he laughed in disbelief, believing that Claire was just some nut job with no sense of reality. The next day Claire was walking down the street and sure enough the man was standing on the corner they had met at the day before. He approached her with a giddy look in his eye, he gave Claire a big hug and his eyes began to well up with tears as he expressed his happiness with how life has turned around in one day. He said everything Claire had predicted had come true and he couldn’t be more grateful. Claire was a little confused, how could she have made his fate change? She had a strange feeling she understood what was happening, she could make peoples lives better just by thinking about it. After the man released Claire from his tight hug, she excused herself graciously and continued down the street. “If this really is some sort of super power” Claire thought “then it should work on anyone right?” As she kept walking she saw a horrific car crash occur in the street next to her. Claire rushed over to see what had happened. A man had hit a biker with his car and had stopped to call an ambulance. Claire bent down over the biker, a young college student, and saw how this scene would end: the biker would be taken to the hospital but the wounds she sustained on her legs would never allow her to walk again. Claire wanted to help this poor girl so badly but for some reason it seemed her power wasn’t working. Claire felt so terrible she accompanied the young woman to the hospital where the doctors gave her the horrible news she had predicted. Claire sat in the room with the biker and just in that moment she saw another future for this young girl: she could walk again and even received a new bike and helmet from the driver of the car that hit her as consolation. Claire wasn’t sure if this power would really work but she hoped it would and gave the biker her number to call her if she needed anything. A few days later she received a call from the biker with miraculous news that she could indeed walk again and that she had gotten a new bike and helmet from the driver that hit her. Claire gasped in disbelief and realized she could create miracles. After a brief moment of joy and awe Claire had a sinking feeling that a gift like this does not come without its responsibilities. Who needs miracles the most? Who should decide who deserves them and who doesn’t? Where did this gift come from and how is it supposed to be used? "
50,"He woke up sweating, confused and paranoid. He’s gone through this before but something felt a little different this time. Mike hopped out of bed and jumped in the shower, still feeling a little groggy from partying the night before. Was it just a case of the flu?  It couldn’t be, nope, it wasn’t really a sick feeling. Then there, right in the middle of his shower it hit him. The memories of last night hit him in a rush. He remembered taking an uber home after a night of some heavy drinking. Mike’s a depressed drunk and the driver wasn’t having it. After depressing him with his talking, the driver pulled up to an alley and got out of the car. Mike was freaking out but so gone he couldn’t do anything about it. The driver came in the back seat of the car and sat next to him. He pulled out a syringe and told him, “I can tell you’ve got some issues, I think you deserve this,” right before plunging it right in his vein. He doesn’t remember what he felt after that but goes to doctor to get checked out. As he leaves his house he hears all these voices. Nobody’s talking but as he walks by people he hears them saying depressing things. It finally hit him, the driver gave him the power to read minds of other depressed people. The man was tired of Mikes whining and wanted him to see what it’s like dealing with the depressed venting of strangers. Mike took advantage of this newfound power and became a psychiatrist, helping people as he knew what they were truly going through. The constant barrage of depressing thoughts intruding upon his conscious led to him outgrowing his own depression. He realized that everyone goes through their own personal struggles and with the right help everyone could be saved."
51,"Have you ever wished that you could read someone’s mind? Maybe your significant other is acting strange and you can’t put your finger on it but you know something is up. Or is it best to be left in the dark about somethings because knowing too much could do more harm than good? If you ask Kat, the less you know, the better. 
Kat is unique and has the ability to read minds. She received this gift (or curse) on her 18th birthday. She doesn’t know how she got it, all she knows is that when she blew out her candles she could hear judgmental voices in her head. “Did she really just spit on cake as she was blowing her candle out?” “Kat just made the weirdest face trying to blow those candles out” “I wonder what kind of cake it is” “I think she’s unhappy because she wishes her boyfriend could be here”. She looked around in awe but did not say anything. Was she really hearing everyone’s thoughts or was she going crazy? Searching for answers she looks at her mother and asked her, “What are you thinking right now?” Her mother replies back, “That you made the weirdest face trying to blow out all 18 candles.”
That was just the start of it, imagine hearing everyone’s thoughts about you. Completely uncensored and unfiltered, the good and the bad. Would that drive you mad? In Kat’s case, it did just that. She knew what people were saying about her, that she had gained some weight. But she couldn’t help it, cheer season was over and she wasn’t working out as much anymore. She thought she gained a little bit of weight but it was apparent that everyone knew she gained weight, and in their eyes it wasn’t just a little. She heard every hurtful criticism people were thinking and it drove her mad. She eventually stopped eating in public and only ate in the privacy of her own room in front of a mirror where she could monitor how much she ate. When she started losing weight she heard all the positive feedback and it encouraged her to keep it up. She then started to eat and "
52,"I walked through the streets, feeling the eyes of the world on me.
Did they know where I came from? Do they know what I’m about to do?
I walked into a nearby store, looking around for the bathroom and quickly rushed in, locking the door behind me. I looked in the mirror and just stared at my reflection, making note of everything about me that was still the same. I still had the same dull black hair, the same shiny brown eyes, crooked nose and small, plump lips. 
I was still the same person, only with a possibly supernatural ability. 
I paced around the bathroom, wondering about how I was going to test this ability and whether or not I was insane for even thinking this was possible. 
No one can do this. You aren’t some sort of mutant. It won’t work.
But I had to try. 
I closed my eyes and tried to replicate the feeling I had only a few hours ago. I concentrated on my breathing, trying to calm it down and imagined a place in my mind. I imagined New York City, where my family was. I imagined being in Time’s square in the midst of all the hustle and bustle. I imagined shopping and the people who were all around. 
Soon the noises of honking cars and construction filled my ears, almost as if I was really there. I smiled as I felt the familiarity of the scene, but was knocked out of my imagination when I felt a large force push against my back and I ended up on my knees. I opened my eyes and saw the black asphalt beneath me; felt the roughness against my hands and my knees and my heart raced. 
I thought it was impossible
I looked up and sure enough I was in the middle of the square, Broadway signs all around me, screens of events and people and ads shining brightly and stores four stories high glaring down at me from my position on the dirty ground. 
“Are you alright?” 
I looked up and saw an older woman kneeling in front of me. I smiled at her and quickly propped myself up onto my feet, thanking her for her concern. She walked off and I marveled at where I was. I was home and all I had to do was imagine it and feel the place rush through me and I could be there, anywhere. This new found transportation ability was everything I dreamed of and I was excited to test it out some more, but first I had to see my family again. 
I thought about calling for a cab, but then where would be the fun in that? I found a bathroom again and once again I closed my eyes and imagined my bedroom. 
The sounds around me disappeared and I felt myself being embraced by soft sheets and a comfortable bed.  I was home. "
53,"It was at this point that Jimmy realized what his new powers let him do. When its test time, he can close his eye and as he thinks about the question, he visualizes his teacher talking about it during lecture. It’s almost as if his eyes can accurately record entire lectures word by word, and also any notes written on the board. Any time Jimmy doesn’t feel confident with his knowledge on a question, he simply closes his eyes and like magic he sees his professor explaining the exact answer to his question. Jimmy is both happy and troubled by his new powers. He is happy because he feels like this will be a great tool for him now and in the future, but troubled at the same time because he doesn’t know whether he should tell his friends or family. He ponders, “Will my friends be jealous that I get good grades without trying?” and “if I tell people, will the news make it around to administration, causing negative consequences for me?” As he wondered about his possibilities, without thinking; he stands up to hand in his test…he looks down because he doesn’t even remember getting past the first page but is surprised to see all the correct answers bubbled in. He knows what his powers do, but not sure of how in control of them he is."
54,One day a guy found out he had super powers. This was a huge deal for him. His super power could change the world. His super power was that he knew when someone was in danger before it happened and he could go prevent it from happening. He saved and protected many lives due to this super power. He was very grateful for this super power. He lived in a very big city so his power benefitted several people. The local police hired him to help them keep the city safe. Everyone was very thankful for his help. He helped make the crime rate go down tremendously. This guy was considered a hero and was loved among everyone in the community. 
